Usuario| Autor| Título| Autoconclusivo/Bilogía/Trilogía/Saga| Genero| Formato(electrónico o físico)|Estado de lectura (leido/pendiente)|Prestado(Si/No)|
CatCrio|Maggie Stiefvater|Los saqueadores de sueños|Saga The raven cycle (2)|Ficción - Literatura fantástica - Fantasía urbana - literatura contemporánea|Libro electrónico|Finalizado|No|
CatCrio|Maggie Stiefvater|El tercer durmiente|Saga The raven cycle (3)|Ficción - Literatura fantástica - Fantasía urbana - literatura contemporánea|Libro electrónico|Finalizado|No|
CatCrio|Maggie Stiefvater|El rey cuervo|Saga The raven cycle (4)|Ficción - Literatura fantástica - Fantasía urbana - literatura contemporánea|Libro electrónico|Finalizado|No
CatCrio|Marcus Zusak|La ladrona de libros|Autonclusivo|Novela historica|Libro de Papel|Finalizado|No|
CatCrio|Miki Monticelli|El brujo de los vientos|Autonclusivo|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Nancy Springer|El caso del marqués desaparecido|Saga Enola Holmes (1)|Crimen|Libro electrónico|Finalizado|No|
CatCrio|Nancy Springer|El caso de la dama zurda|Saga Enola Holmes (2)|Crimen|Libro de Papel|Finalizado|No|
CatCrio|Nancy Springer|El caso del enigma de los ramos de flores|Saga Enola Holmes (3)|Crimen|Libro de Papel|Finalizado|No
CatCrio|Nancy Springer|The Case of the Cryptic Crinoline|Saga Enola Holmes (5)|Crimen|Libro electrónico|Finalizado|No|
CatCrio|Nancy Springer|The Case of the Gypsy Goodbye|Saga Enola Holmes (6)|Crimen|Libro electrónico|Finalizado|No|
CatCrio|Philip Pullman|La brújula dorada|Trilogía La materia oscura (1)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Philip Pullman|La daga de plata|Trilogía La materia oscura (2)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Philip Pullman|El catalejo lacado|Trilogía La materia oscura (3)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Philip Pullman|La bella salvaje|Trilogía El Libro de la Oscuridad (1)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Philip Pullman|La comunidad secreta|Trilogía El Libro de la Oscuridad (2)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Philip Pullman|Lyra's Oxford|Trilogía La materia oscura (3.5)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Philip Pullman|Serpentine|Trilogía El Libro de la Oscuridad (1.5)|Literatura fantástica - Realismo mágico|Libro de Papel|Finalizado|No|
CatCrio|Pittacus Lore|Soy el número cuatro|Saga Los legados de lorien (1)|Ciencia Ficción - Aventura|Libro electrónico|Finalizado|No|
CatCrio|Pittacus Lore|El poder de séis|Saga Los legados de lorien (2)|Ciencia Ficción - Aventura|Libro de Papel|Finalizado|No|
CatCrio|Pittacus Lore|El ascenso de nueve|Saga Los legados de lorien (3)|Ciencia Ficción - Aventura|Libro electrónico|Finalizado|No|
CatCrio|Pittacus Lore|La caída de cinco|Saga Los legados de lorien (4)|Ciencia Ficción - Aventura|Libro electrónico|Finalizado|No|
CatCrio|Pittacus Lore|La venganza de siete|Saga Los legados de lorien (5)|Ciencia Ficción - Aventura|Libro electrónico|Finalizado|No|
CatCrio|Pittacus Lore|El destino de diez|Saga Los legados de lorien (6)|Ciencia Ficción - Aventura|Libro electrónico|Finalizado|No|
CatCrio|Pittacus Lore|Somos uno|Saga Los legados de lorien (7)|Ciencia Ficción - Aventura|Libro electrónico|Finalizado|No|
CatCrio|Rick Riordan|El ladrón del rayo|Saga Los dioses del olimpo (1)|Fantasía|Libro de Papel|Finalizado|Si|
CatCrio|Rick Riordan|El mar de los mounstros|Saga Los dioses del olimpo (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La maldición del titán|Saga Los dioses del olimpo (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La batalla de labertino|Saga Los dioses del olimpo (4)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El último héroe del olimpo|Saga Los dioses del olimpo (5)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El héroe perdido|Saga Los héroes del olimpo (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El hijo de neptuno|Saga Los héroes del olimpo (2)|Fantasía|Libro de Papel|Finalizado|Noa|
CatCrio|Rick Riordan|La marca de atenea|Saga Los héroes del olimpo (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La casa de hades|Saga Los héroes del olimpo (4)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La sangre del olimpo|Saga Los héroes del olimpo (5)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El oráculo oculto|Saga La pruebas de apolo (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La profecía oscura|Saga La pruebas de apolo (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|Laberinto en llamas|Saga La pruebas de apolo (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La tumba del tirano|Saga La pruebas de apolo (4)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La torre de nerón|Saga La pruebas de apolo (5)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La piramide roja|Trilogía Las crónicas de Kane (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El trono de fuego|Trilogía Las crónicas de Kane (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La sombra de la serpiente|Trilogía Las crónicas de Kane (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|La espada del tiempo|Trilogía Magnus Chase y los dioses de Asgard (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El martillo de thor|Trilogía Magnus Chase y los dioses de Asgard (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Rick Riordan|El barco de los muertos|Trilogía Magnus Chase y los dioses de Asgard (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|Suzanne Collins|Los juegos del hambre|Trilogia Los juegos del hambre (1)|Ciencia Ficción - Distopia|Libro de Papel|Finalizado|No|
CatCrio|Suzanne Collins|En llamas|Trilogia Los juegos del hambre (2)|Ciencia Ficción - Distopia|Libro de Papel|Finalizado|No|
CatCrio|Suzanne Collins|Sinsajo|Trilogia Los juegos del hambre (3)|Ciencia Ficción - Distopia|Libro de Papel|Finalizado|No|
CatCrio|TJ Klune|La canción del lobo|Saga Green creek (1)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|TJ Klune|La canción del cuervo|Saga Green creek (2)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|TJ Klune|La cación del corazón|Saga Green creek (3)|Fantasía|Libro de Papel|Finalizado|No|
CatCrio|TJ Klune|La canción del hermano|Saga Green creek (4)|Fantasía|Libro electrónico|Finalizado|No|
CatCrio|Veronica Roth|Divergente|Trilogía Divergente (1)|Ciencia Ficción - Distopia|Libro de Papel|Finalizado|No|
CatCrio|Veronica Roth|Insurgente|Trilogía Divergente (1)|Ciencia Ficción - Distopia|Libro de Papel|Finalizado|No|
CatCrio|Veronica Roth|Leal|Trilogía Divergente (1)|Ciencia Ficción - Distopia|Libro de Papel|Finalizado|No|
CatCrio|Wendy Xu - Suzanne Walker|Mooncake|Autonclusivo|Fantasía|Libro de Papel	Finalizado|No|
Juan|Ernest Cline|Ready player one|Bilogia Ready player one (1)|Ciencia ficción|Libro de Papel|Finalizado|No|
Juan|Ricardo Alcántara|Gustavo y los miedos| Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Íñigo Javaloyes|Autoconclusivo|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Margarita Mainé|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Emma Lucía Ardila Jaramillo| Luisa juegapalabras|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Carlos Peramo|La bicicleta es mía|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Mireya Madrid-Malo|Doce cuentos para un sueño|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Jorge Antonio García Pérez| Amor entre letras|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
Juan|Edgar Allan Poe| La carta robada y otros cuentos|Autoconclusivo|Infantil|Libro de Papel|Finalizado|No|
jose|Julio Verne|20000 leguas de viaje submarino|Autoconclusivo|Novela|Libro de Papel|finalizado|no|
jose|Carlos Julio Luque|Estructuras análogas a los números reales|Autoconclusivo|Libro academico|Libro de Papel|finalizado|si|
